,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,bounty_amount,bounty_closes_date,accepted_answer_id,closed_date,closed_reason,protected_date,locked_date
0,"['javascript', 'html', 'browserify']","{'account_id': 24025181, 'reputation': 23, 'user_id': 18006883, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2d22cce811952ee09d3147e26117eb4c?s=256&d=identicon&r=PG', 'display_name': 'Huu Tuong Tu', 'link': 'https://stackoverflow.com/users/18006883/huu-tuong-tu'}",True,10364,2,2,1669216551,1647529254,71514557,CC BY-SA 4.0,https://stackoverflow.com/questions/71514557/uncaught-referenceerror-function-is-not-defined-at-htmlbuttonelement-onclick,Uncaught ReferenceError: &lt;function&gt; is not defined at HTMLButtonElement.onclick when use Browserify,,,,,,,,
1,"['javascript', 'vue.js', 'vuejs3', 'vue-script-setup']","{'account_id': 10627210, 'reputation': 2700, 'user_id': 7826511, 'user_type': 'registered', 'accept_rate': 75, 'profile_image': 'https://i.stack.imgur.com/0i2Id.jpg?s=256&g=1', 'display_name': 'Artur M&#252;ller Romanov', 'link': 'https://stackoverflow.com/users/7826511/artur-m%c3%bcller-romanov'}",True,10007,2,7,1669215279,1646550191,71368304,CC BY-SA 4.0,https://stackoverflow.com/questions/71368304/how-do-you-export-default-from-inside-script-setup-in-vue-3,How do you export default from inside script setup in Vue 3?,1669215279.0,,,,,,,
2,"['javascript', 'node.js', 'import', 'es6-modules', 'rollupjs']","{'account_id': 15921163, 'reputation': 57, 'user_id': 11488133, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-F8lOhB7vaho/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rf6mH45IB5rnphccKEEHjb4akJHvw/mo/photo.jpg?sz=256', 'display_name': 'Franartur Čech', 'link': 'https://stackoverflow.com/users/11488133/franartur-%c4%8cech'}",True,414,2,2,1669156141,1647281448,71472352,CC BY-SA 4.0,https://stackoverflow.com/questions/71472352/how-to-import-a-node-module-vs-use-the-browser-api,How to import a node module VS use the browser api?,,50.0,1669714800.0,,,,,
3,"['javascript', 'typescript', 'google-chrome']","{'account_id': 3517438, 'reputation': 353, 'user_id': 2940515, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/?s=256&d=identicon&r=PG&f=1', 'display_name': 'julanove', 'link': 'https://stackoverflow.com/users/2940515/julanove'}",True,3351,3,7,1669155459,1646729859,71392342,CC BY-SA 4.0,https://stackoverflow.com/questions/71392342/property-useragentdata-does-not-exist-on-type-navigator,Property &#39;userAgentData&#39; does not exist on type &#39;Navigator&#39;,,,,71392474.0,,,,
4,"['javascript', 'html', 'typescript', 'phaser-framework']","{'account_id': 24567231, 'reputation': 1, 'user_id': 18474216, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgfKpY_yTcY1ntjDAqwdfrKLoF4k-8mAWUypv5FJg=k-s256', 'display_name': 'hoshi- nohrian', 'link': 'https://stackoverflow.com/users/18474216/hoshi-nohrian'}",False,296,1,0,1669153940,1647358975,71485021,CC BY-SA 4.0,https://stackoverflow.com/questions/71485021/phaser-3-is-not-loading-the-image-assets,Phaser 3 is not loading the image assets,1647359086.0,,,,,,,
5,"['javascript', 'laravel', 'vue.js', 'axios', 'form-data']","{'account_id': 14389788, 'reputation': 321, 'user_id': 11295843, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/951d1ae381d0779103fe0e4fe781d15e?s=256&d=identicon&r=PG&f=1', 'display_name': 'Kos-Mos', 'link': 'https://stackoverflow.com/users/11295843/kos-mos'}",True,1558,1,3,1669140071,1648228719,71620817,CC BY-SA 4.0,https://stackoverflow.com/questions/71620817/formdata-vs-json-when-uploading-images-best-practices,formData vs JSON when uploading images (best practices),,,,71627040.0,,,,
6,"['javascript', 'html', 'validation']","{'account_id': 4131553, 'reputation': 4561, 'user_id': 3389346, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://i.stack.imgur.com/GBYgb.png?s=256&g=1', 'display_name': 'eat-sleep-code', 'link': 'https://stackoverflow.com/users/3389346/eat-sleep-code'}",True,47,1,-1,1669138424,1648536994,71657677,CC BY-SA 4.0,https://stackoverflow.com/questions/71657677/html-5-validation-customization,HTML 5 Validation Customization,1669138424.0,,,71662008.0,,,,
7,"['javascript', 'reactjs']","{'account_id': 7538614, 'reputation': 19, 'user_id': 5724094, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/03151513589849c2f5094bcb58bddc56?s=256&d=identicon&r=PG&f=1', 'display_name': 'RocketMan89', 'link': 'https://stackoverflow.com/users/5724094/rocketman89'}",False,304,1,0,1669122839,1646685540,71386992,CC BY-SA 4.0,https://stackoverflow.com/questions/71386992/reactdom-not-rendering-react-elements-to-dom,ReactDom not rendering React Elements to DOM,1646691814.0,,,,,,,
8,"['javascript', 'reactjs', 'deployment', 'server', 'vercel']","{'account_id': 20637286, 'reputation': 106, 'user_id': 15150677, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-6BopXUK95LY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck6GgKzrvTTxhEtg6LG6vSbKLqwvg/s96-c/photo.jpg?sz=256', 'display_name': 'Hemang Joshi', 'link': 'https://stackoverflow.com/users/15150677/hemang-joshi'}",True,3403,2,1,1669118221,1646643513,71378572,CC BY-SA 4.0,https://stackoverflow.com/questions/71378572/404-not-found-on-vercel-deployment,404: NOT_FOUND on Vercel deployment,,,,,,,,
9,"['javascript', 'reactjs', 'react-router-dom']","{'account_id': 20269066, 'reputation': 137, 'user_id': 14865645, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a6c9e3c7f5d7d5a8eb9df7baf23af938?s=256&d=identicon&r=PG&f=1', 'display_name': 'giosan', 'link': 'https://stackoverflow.com/users/14865645/giosan'}",True,1934,2,3,1669067536,1648570987,71665617,CC BY-SA 4.0,https://stackoverflow.com/questions/71665617/scroll-to-top-on-browser-back-button-click-react,Scroll to top on browser back button click react,1668439276.0,,,71665940.0,,,,
