,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,last_edit_date,closed_date,closed_reason
0,"['javascript', 'node.js', 'regex', 'string', 'mask']","{'account_id': 5804539, 'reputation': 93, 'user_id': 4746071, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/10203778812255082/picture?type=large', 'display_name': 'AmJaradat01', 'link': 'https://stackoverflow.com/users/4746071/amjaradat01'}",True,2040,1669177775.0,64605664.0,5,3,1669177238,1604049527,64605601,CC BY-SA 4.0,https://stackoverflow.com/questions/64605601/partially-mask-email-address-javascript,Partially mask email address - javascript,,,
1,"['javascript', 'html', 'jquery', 'css', 'responsive-design']","{'account_id': 9166347, 'reputation': 59, 'user_id': 6815773, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-56QhF49j7dA/AAAAAAAAAAI/AAAAAAAACgA/14Ruir5mKJs/photo.jpg?sz=256', 'display_name': 'Ammar Yassir', 'link': 'https://stackoverflow.com/users/6815773/ammar-yassir'}",True,61,,64409265.0,1,1,1669158113,1602987810,64409129,CC BY-SA 4.0,https://stackoverflow.com/questions/64409129/menu-button-in-navigation-bar-not-accessible-after-scrolling-down,Menu button in navigation bar not accessible after scrolling down,1602990143.0,,
2,"['javascript', 'html', 'regex']","{'account_id': 12194483, 'reputation': 1061, 'user_id': 8900664, 'user_type': 'registered', 'accept_rate': 67, 'profile_image': 'https://graph.facebook.com/803949066451518/picture?type=large', 'display_name': 'Nixen85', 'link': 'https://stackoverflow.com/users/8900664/nixen85'}",True,78,,64431788.0,1,0,1669158080,1603113251,64428109,CC BY-SA 4.0,https://stackoverflow.com/questions/64428109/match-link-patterns-in-html-code-with-a-regex,Match link patterns in HTML code with a RegEx,1603194408.0,,
3,"['javascript', 'node.js', 'dropbox', 'unhandled-exception', 'unhandled-promise-rejection']","{'account_id': 210629, 'reputation': 13304, 'user_id': 462347, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://www.gravatar.com/avatar/d4a844ef3b87269a475befa714ea708d?s=256&d=identicon&r=PG', 'display_name': 'Mike', 'link': 'https://stackoverflow.com/users/462347/mike'}",True,398,,64326550.0,2,1,1669133579,1602188049,64269984,CC BY-SA 4.0,https://stackoverflow.com/questions/64269984/dropboxs-filesgettemporarylink-throws-an-uncatchable-unhandledpromiserejecti,Dropbox&#39;s `filesGetTemporaryLink` throws an uncatchable `UnhandledPromiseRejectionWarning` and terminates Node.js,1669133579.0,,
4,"['javascript', 'memory-leaks', 'sapui5']","{'account_id': 210629, 'reputation': 13304, 'user_id': 462347, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://www.gravatar.com/avatar/d4a844ef3b87269a475befa714ea708d?s=256&d=identicon&r=PG', 'display_name': 'Mike', 'link': 'https://stackoverflow.com/users/462347/mike'}",True,811,,64545897.0,1,1,1669133315,1603748545,64545381,CC BY-SA 4.0,https://stackoverflow.com/questions/64545381/a-fragment-based-dialog-is-not-destroyed-reset-in-ui5-upon-leaving-the-view,A fragment-based Dialog is not destroyed/reset in UI5 upon leaving the view,1669133315.0,,
5,"['javascript', 'asynchronous', 'async-await', 'xmlhttprequest', 'sapui5']","{'account_id': 210629, 'reputation': 13304, 'user_id': 462347, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://www.gravatar.com/avatar/d4a844ef3b87269a475befa714ea708d?s=256&d=identicon&r=PG', 'display_name': 'Mike', 'link': 'https://stackoverflow.com/users/462347/mike'}",True,955,,64461248.0,2,3,1669131100,1602950354,64404429,CC BY-SA 4.0,https://stackoverflow.com/questions/64404429/how-to-avoid-synchronous-xmlhttprequest-on-the-main-thread-warning-in-ui5,How to avoid &quot;Synchronous XMLHttpRequest on the main thread&quot; warning in UI5?,1669131100.0,,
6,"['javascript', 'sapui5']","{'account_id': 210629, 'reputation': 13304, 'user_id': 462347, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://www.gravatar.com/avatar/d4a844ef3b87269a475befa714ea708d?s=256&d=identicon&r=PG', 'display_name': 'Mike', 'link': 'https://stackoverflow.com/users/462347/mike'}",True,765,,64541325.0,1,1,1669130942,1603705807,64534777,CC BY-SA 4.0,https://stackoverflow.com/questions/64534777/methods-assigned-in-xml-fragment-not-triggered,Methods assigned in XML fragment not triggered,1669130942.0,,
7,"['javascript', 'reactjs']","{'account_id': 19695943, 'reputation': 31, 'user_id': 14419869, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f03dd39e2c980161ec150624bef8b868?s=256&d=identicon&r=PG&f=1', 'display_name': 'Rima rim', 'link': 'https://stackoverflow.com/users/14419869/rima-rim'}",False,8538,,,1,2,1669053895,1603013845,64411787,CC BY-SA 4.0,https://stackoverflow.com/questions/64411787/react-js-how-can-i-convert-string-base64-to-normal-image,React.js How can I convert string base64 to normal image,1603021454.0,,
8,"['javascript', 'reactjs', 'jestjs', 'react-testing-library']","{'account_id': 7468136, 'reputation': 940, 'user_id': 5676904, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a434f6a5554cc652999782c9e7a27b14?s=256&d=identicon&r=PG&f=1', 'display_name': 'Mudiaga Ejenavi', 'link': 'https://stackoverflow.com/users/5676904/mudiaga-ejenavi'}",True,17484,,64500829.0,2,14,1669053063,1603414796,64492491,CC BY-SA 4.0,https://stackoverflow.com/questions/64492491/how-to-test-which-input-has-the-focus-when-tab-button-is-pressed,How to test which input has the focus when tab button is pressed,,,
9,"['javascript', 'html', 'css', 'reactjs']","{'account_id': 19604612, 'reputation': 21, 'user_id': 14348603, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GigjsJMkuxgXyJeF_E9RWJ7-quTKMBtru0_PIa5vg=k-s256', 'display_name': 'Andrew T', 'link': 'https://stackoverflow.com/users/14348603/andrew-t'}",False,304,,,1,-1,1669046614,1602807843,64381339,CC BY-SA 4.0,https://stackoverflow.com/questions/64381339/collapse-an-element-with-position-absolute,Collapse an Element with Position: Absolute,1669046614.0,,
