,tags,owner,is_answered,view_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,accepted_answer_id,closed_date,closed_reason,protected_date
0,"['javascript', 'regex-lookarounds', 'unicode-escapes']","{'account_id': 11173794, 'reputation': 329, 'user_id': 15395740, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/t4Ztx.jpg?s=256&g=1', 'display_name': 'Andrei Cleland', 'link': 'https://stackoverflow.com/users/15395740/andrei-cleland'}",False,235,2,1,1669199906,1629106266,1629259855.0,68800391,CC BY-SA 4.0,https://stackoverflow.com/questions/68800391/split-a-bengali-string-by-a-regex-without-consuming-the-delimiter-zero-width,"Split a (Bengali) string by a regex without consuming the delimiter, zero-width forward lookahead not working",,,,
1,"['javascript', 'elixir', 'phoenix-framework', 'has-many']","{'account_id': 17792421, 'reputation': 412, 'user_id': 12921091, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c1be6bf270f8e17927c2846d7c09e931?s=256&d=identicon&r=PG&f=1', 'display_name': 'tblev', 'link': 'https://stackoverflow.com/users/12921091/tblev'}",False,221,0,0,1669173439,1629811846,1669173439.0,68908556,CC BY-SA 4.0,https://stackoverflow.com/questions/68908556/dynamic-form-generation-for-inputs-for-doesnt-create-unique-list-of-form-elemen,Dynamic form generation for inputs_for doesn&#39;t create unique list of form elements,,,,
2,"['javascript', 'html', 'css', 'reactjs']","{'account_id': 22412342, 'reputation': 41, 'user_id': 16620898, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxT3SPnDBpW5dgeGYfB9EqBSraoZOiu2xovu9Kq=k-s256', 'display_name': 'Steven Lengieza', 'link': 'https://stackoverflow.com/users/16620898/steven-lengieza'}",True,1043,2,4,1669136990,1628470463,1628564081.0,68705811,CC BY-SA 4.0,https://stackoverflow.com/questions/68705811/anchor-link-to-div-on-the-same-page-not-working-in-safari,Anchor link to div on the same page not working in Safari,,,,
3,"['javascript', 'regex', 'string', 'replace', 'lookbehind']","{'account_id': 15489455, 'reputation': 435, 'user_id': 12073762, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-vK8eit_21sY/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3req5pEdphvZvMYWe7SOjUbqZfv0nw/photo.jpg?sz=256', 'display_name': 'Idris', 'link': 'https://stackoverflow.com/users/12073762/idris'}",True,805,3,2,1669112281,1628235893,1650540372.0,68677953,CC BY-SA 4.0,https://stackoverflow.com/questions/68677953/javascript-method-to-capitalize-the-first-letter-of-every-word-and-also-every-wo,Javascript method to capitalize the first letter of every word and also every word after hyphen or dash,68678049.0,,,
4,"['javascript', 'typescript', 'firebase', 'function']","{'account_id': 12591284, 'reputation': 121, 'user_id': 9157865, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-LaJl7G1ubOY/AAAAAAAAAAI/AAAAAAAAAb4/zQ-wooEf1vE/photo.jpg?sz=256', 'display_name': 'Vivek', 'link': 'https://stackoverflow.com/users/9157865/vivek'}",True,13087,9,11,1669065202,1630220663,,68970633,CC BY-SA 4.0,https://stackoverflow.com/questions/68970633/error-ts6231-could-not-resolve-the-path-with-the-extensions-ts-tsx,"error TS6231: Could not resolve the path &#39;&#39; with the extensions: &#39;.ts&#39;, &#39;.tsx&#39;, &#39;.d.ts&#39;",,,,
5,"['javascript', 'reactjs', 'components', 'rest', 'react-suspense']","{'account_id': 18496833, 'reputation': 11, 'user_id': 13475062, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-hayxdARBau8/AAAAAAAAAAI/AAAAAAAAAAA/AAKWJJNatzeivEwUqHJCXHZJSN5wM6Z8pA/photo.jpg?sz=256', 'display_name': 'The Newbie', 'link': 'https://stackoverflow.com/users/13475062/the-newbie'}",True,864,3,0,1669040454,1630019006,,68946236,CC BY-SA 4.0,https://stackoverflow.com/questions/68946236/react-suspense-is-not-working-and-i-dont-know-why,react Suspense is not working and i don&#39;t know why,,,,
6,"['javascript', 'async-await', 'html5-canvas', 'babeljs', 'html5-video']","{'account_id': 4538335, 'reputation': 129, 'user_id': 3686903, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/hNZOO.jpg?s=256&g=1', 'display_name': 'smartblonde', 'link': 'https://stackoverflow.com/users/3686903/smartblonde'}",False,75,1,0,1669007929,1628093155,1669007929.0,68654595,CC BY-SA 4.0,https://stackoverflow.com/questions/68654595/trying-to-use-async-declaration-in-react-but-getting-error-in-build,Trying to use async declaration in react but getting error in build,,,,
7,"['javascript', 'firebase', 'google-cloud-firestore', 'google-cloud-functions']","{'account_id': 5449662, 'reputation': 386, 'user_id': 13567181, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-2PcxBIHSyAM/AAAAAAAAAAI/AAAAAAAAADk/vb_Nx98NVJY/photo.jpg?sz=256', 'display_name': 'Norbert H&#252;thmayr', 'link': 'https://stackoverflow.com/users/13567181/norbert-h%c3%bcthmayr'}",True,218,1,3,1668943500,1629902971,1629903156.0,68925136,CC BY-SA 4.0,https://stackoverflow.com/questions/68925136/firebase-function-with-converter-wipes-document-reference-on-set,Firebase Function With Converter Wipes Document Reference on Set(),,,,
8,"['javascript', 'numbers']","{'account_id': 14215570, 'reputation': 248, 'user_id': 10269579, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/8DwcC.png?s=256&g=1', 'display_name': 'peon123', 'link': 'https://stackoverflow.com/users/10269579/peon123'}",True,171,3,-1,1668906029,1627956882,,68629614,CC BY-SA 4.0,https://stackoverflow.com/questions/68629614/convert-mebibyte-to-gigabyte,convert mebibyte to gigabyte,68630895.0,,,
9,"['javascript', 'canvas', 'webrtc', 'mediastream', 'capturestream']","{'account_id': 4151965, 'reputation': 965, 'user_id': 3404137, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/mbsqu.jpg?s=256&g=1', 'display_name': 'Sam', 'link': 'https://stackoverflow.com/users/3404137/sam'}",False,151,0,1,1668904422,1629533056,1668904422.0,68871215,CC BY-SA 4.0,https://stackoverflow.com/questions/68871215/high-cpu-usage-from-canvas-capturestream,High CPU Usage from Canvas CaptureStream,,,,
