,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,migrated_from
0,"['javascript', 'json', 'node.js']","{'account_id': 457458, 'reputation': 22920, 'user_id': 856790, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://i.stack.imgur.com/Jlqsh.jpg?s=256&g=1', 'display_name': 'Matt Cashatt', 'link': 'https://stackoverflow.com/users/856790/matt-cashatt'}",True,695233,1556787604.0,10011078.0,13,808,1669367339,1333542160,1592644375.0,10011011,CC BY-SA 4.0,https://stackoverflow.com/questions/10011011/using-node-js-how-do-i-read-a-json-file-into-server-memory,"Using Node.JS, how do I read a JSON file into (server) memory?",,,
1,"['javascript', 'jquery', 'jquery-events']","{'account_id': 396839, 'reputation': 3426, 'user_id': 1166293, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://www.gravatar.com/avatar/2ee84b10ef5859249a33ff4e525e0e7b?s=256&d=identicon&r=PG', 'display_name': 'Adam Biggs', 'link': 'https://stackoverflow.com/users/1166293/adam-biggs'}",True,5579,,10020093.0,3,3,1669311523,1333577858,1669311523.0,10020061,CC BY-SA 4.0,https://stackoverflow.com/questions/10020061/jquery-event-performance-bind-a-single-event-on-parent-or-individual-events-on,jQuery event performance: Bind a single event on parent or individual events on each child?,,,
2,"['javascript', 'jquery', 'jquery-events']","{'account_id': 970983, 'reputation': 17769, 'user_id': 993563, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/f6c04bac6a5ed98db055477787b47ad6?s=256&d=identicon&r=PG', 'display_name': 'user993563', 'link': 'https://stackoverflow.com/users/993563/user993563'}",True,417,,10040272.0,3,3,1669311488,1333695358,1669311488.0,10040200,CC BY-SA 4.0,https://stackoverflow.com/questions/10040200/understanding-jquery-initialization,Understanding jQuery initialization,,,
3,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1126541, 'reputation': 300, 'user_id': 1113701, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/6b3d99bc15bbfd8ffb9ef9956058568f?s=256&d=identicon&r=PG', 'display_name': 'BTHarris', 'link': 'https://stackoverflow.com/users/1113701/btharris'}",True,1439,,10065645.0,3,3,1669288970,1333912418,1669288970.0,10065628,CC BY-SA 4.0,https://stackoverflow.com/questions/10065628/javascript-hide-element-when-clicking-anywhere-on-page,JavaScript Hide Element When Clicking Anywhere on Page,,,
4,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1348647, 'reputation': 15, 'user_id': 1288892, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bd2785e3b56b35a4cd9c2162e825a91d?s=256&d=identicon&r=PG', 'display_name': 'user1288892', 'link': 'https://stackoverflow.com/users/1288892/user1288892'}",True,145,,10140252.0,1,0,1669288918,1334315387,1669288918.0,10139716,CC BY-SA 4.0,https://stackoverflow.com/questions/10139716/horizontal-custom-scroller-not-working-divnews1-total-width-not-set-by-brow,Horizontal custom scroller - not working - div#news1 total width not set by browser,,,
5,"['javascript', 'jquery']","{'user_type': 'does_not_exist', 'display_name': 'user1334616'}",True,85,,10163158.0,1,-1,1669288811,1334501008,1669288811.0,10163011,CC BY-SA 4.0,https://stackoverflow.com/questions/10163011/image-change-function-and-if-block,Image change function and if block,,,
6,"['javascript', 'jquery', 'jquery-events']","{'account_id': 199413, 'reputation': 2039, 'user_id': 634877, 'user_type': 'registered', 'accept_rate': 87, 'profile_image': 'https://i.stack.imgur.com/n14JQ.gif?s=256&g=1', 'display_name': 'bob_cobb', 'link': 'https://stackoverflow.com/users/634877/bob-cobb'}",True,584,,10168974.0,3,0,1669288752,1334552748,1669288752.0,10168937,CC BY-SA 4.0,https://stackoverflow.com/questions/10168937/adding-two-click-events-to-the-same-button-only-works-once,Adding two click events to the same button only works once,,,
7,"['javascript', 'jquery']","{'account_id': 473303, 'reputation': 875, 'user_id': 882324, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/6ebed76827b21cdab8a09faaaa4741bf?s=256&d=identicon&r=PG', 'display_name': 'Ben Potter', 'link': 'https://stackoverflow.com/users/882324/ben-potter'}",True,315,,10221705.0,4,0,1669281225,1334809955,1669281225.0,10221672,CC BY-SA 4.0,https://stackoverflow.com/questions/10221672/insert-objects-into-other-objects-before-the-innerhtml-with-jquery,Insert objects into other objects before the innerHTML with jQuery,,,
8,"['javascript', 'jquery', 'jquery-events']","{'account_id': 35996, 'reputation': 4461, 'user_id': 102372, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://i.stack.imgur.com/sB5Mv.jpg?s=256&g=1', 'display_name': 'croceldon', 'link': 'https://stackoverflow.com/users/102372/croceldon'}",True,896,,10231896.0,2,0,1669281142,1334848454,1669281142.0,10231198,CC BY-SA 4.0,https://stackoverflow.com/questions/10231198/how-to-implement-a-click-event-on-mutually-exclusive-checkboxes-in-jquery,How to implement a click event on mutually exclusive checkboxes in jQuery?,,,
9,"['javascript', 'jquery', 'jquery-events']","{'account_id': 135836, 'reputation': 16289, 'user_id': 338961, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://i.stack.imgur.com/TE0mK.jpg?s=256&g=1', 'display_name': 'tamakisquare', 'link': 'https://stackoverflow.com/users/338961/tamakisquare'}",True,187,,10238208.0,2,0,1669281111,1334877444,1669281111.0,10238191,CC BY-SA 4.0,https://stackoverflow.com/questions/10238191/whats-the-right-mindset-in-using-jquerys-event-stoppropagation,What&#39;s the right mindset in using jQuery&#39;s event.stopPropagation(),,,
