,tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,protected_date,locked_date,community_owned_date,closed_date,closed_reason
0,"['javascript', 'jquery']","{'account_id': 8333, 'reputation': 36457, 'user_id': 14971, 'user_type': 'registered', 'accept_rate': 84, 'profile_image': 'https://www.gravatar.com/avatar/07e656eae2d6a9d86e8adb6bb6fe111d?s=256&d=identicon&r=PG', 'display_name': 'Toby Hede', 'link': 'https://stackoverflow.com/users/14971/toby-hede'}",True,11174,592928.0,4,0,1668900113,1235685860,1668900113.0,592657,CC BY-SA 4.0,https://stackoverflow.com/questions/592657/jquery-multiselect-submit-form-on-change,jQuery MultiSelect submit form on change,,,,,
1,"['javascript', 'html', 'css', 'dhtml']","{'account_id': 20530, 'reputation': 255135, 'user_id': 49153, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/833df8cee775eea743cb1172dfcd3809?s=256&d=identicon&r=PG', 'display_name': 'Ali', 'link': 'https://stackoverflow.com/users/49153/ali'}",True,627119,577002.0,21,371,1668764584,1235310480,,574944,CC BY-SA 2.5,https://stackoverflow.com/questions/574944/how-to-load-up-css-files-using-javascript,How to load up CSS files using Javascript?,,,,,
2,"['javascript', 'date']","{'account_id': 21, 'reputation': 103552, 'user_id': 29, 'user_type': 'registered', 'accept_rate': 83, 'profile_image': 'https://www.gravatar.com/avatar/f4f4b5a6f27f72b32d42463b1a25e0df?s=256&d=identicon&r=PG', 'display_name': 'Michael Haren', 'link': 'https://stackoverflow.com/users/29/michael-haren'}",True,701112,543152.0,43,530,1668695342,1234468225,1642865512.0,542938,CC BY-SA 4.0,https://stackoverflow.com/questions/542938/how-to-calculate-number-of-days-between-two-dates,How to calculate number of days between two dates?,1554892282.0,,,,
3,"['javascript', 'date']","{'account_id': 7413, 'reputation': 15897, 'user_id': 12872, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ed283db194eca5dcc41b9718abb4deca?s=256&d=identicon&r=PG', 'display_name': 'Ashesh', 'link': 'https://stackoverflow.com/users/12872/ashesh'}",True,1916923,,56,1582,1668684617,1235001440,1643924746.0,563406,CC BY-SA 4.0,https://stackoverflow.com/questions/563406/how-to-add-days-to-date,How to add days to Date?,1555272065.0,,,,
4,"['javascript', 'diff', 'richtextbox']","{'account_id': 12662, 'reputation': 82889, 'user_id': 25068, 'user_type': 'registered', 'accept_rate': 65, 'profile_image': 'https://www.gravatar.com/avatar/152c39ec9f2570aef287d40f9824c5f2?s=256&d=identicon&r=PG', 'display_name': 'Tom Lehman', 'link': 'https://stackoverflow.com/users/25068/tom-lehman'}",True,1698,584505.0,2,4,1668497237,1235513486,,583845,CC BY-SA 2.5,https://stackoverflow.com/questions/583845/wysiwyg-rich-text-editor-that-supports-diffs,WYSIWYG rich text editor that supports diffs?,,,,,
5,"['javascript', 'jquery', 'ajax', 'dhtml']","{'account_id': 20530, 'reputation': 255135, 'user_id': 49153, 'user_type': 'registered', 'accept_rate': 91, 'profile_image': 'https://www.gravatar.com/avatar/833df8cee775eea743cb1172dfcd3809?s=256&d=identicon&r=PG', 'display_name': 'Ali', 'link': 'https://stackoverflow.com/users/49153/ali'}",True,594375,590040.0,28,217,1667911227,1235645114,,590018,CC BY-SA 2.5,https://stackoverflow.com/questions/590018/getting-all-selected-checkboxes-in-an-array,Getting all selected checkboxes in an array,,,,,
6,"['javascript', 'jquery', 'redirect']","{'account_id': 19254, 'reputation': 102123, 'user_id': 44984, 'user_type': 'registered', 'accept_rate': 78, 'profile_image': 'https://i.stack.imgur.com/7rqob.jpg?s=256&g=1', 'display_name': 'venkatachalam', 'link': 'https://stackoverflow.com/users/44984/venkatachalam'}",True,7433017,506004.0,58,7705,1667458012,1233579256,1517920814.0,503093,CC BY-SA 3.0,https://stackoverflow.com/questions/503093/how-do-i-redirect-to-another-webpage,How do I redirect to another webpage?,1447333882.0,1522910705.0,,,
7,"['javascript', 'random', 'random-seed', 'seeding']","{'account_id': 24813, 'reputation': 5851, 'user_id': 63316, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6cfc7f55086365b962343f50beaf0634?s=256&d=identicon&r=PG', 'display_name': 'weepy', 'link': 'https://stackoverflow.com/users/63316/weepy'}",True,316250,521323.0,19,535,1666588015,1233941859,1609690633.0,521295,CC BY-SA 4.0,https://stackoverflow.com/questions/521295/seeding-the-random-number-generator-in-javascript,Seeding the random number generator in Javascript,1595655864.0,,,,
8,['javascript'],"{'account_id': 26268, 'reputation': 96361, 'user_id': 68183, 'user_type': 'registered', 'accept_rate': 54, 'profile_image': 'https://www.gravatar.com/avatar/db92156fccb31def7688ae66d221f803?s=256&d=identicon&r=PG', 'display_name': 'mrblah', 'link': 'https://stackoverflow.com/users/68183/mrblah'}",True,395925,573337.0,14,228,1665975045,1235227638,1613466642.0,573145,CC BY-SA 4.0,https://stackoverflow.com/questions/573145/get-everything-after-the-dash-in-a-string-in-javascript,Get everything after the dash in a string in JavaScript,,,,,
9,"['javascript', 'function']","{'account_id': 17640, 'reputation': 253224, 'user_id': 39677, 'user_type': 'registered', 'accept_rate': 57, 'profile_image': 'https://www.gravatar.com/avatar/77aa7bc1ace6e4b0b49a2102e4fa4059?s=256&d=identicon&r=PG', 'display_name': 'Blankman', 'link': 'https://stackoverflow.com/users/39677/blankman'}",True,96129,17143667.0,24,80,1665545116,1233760305,,511761,CC BY-SA 2.5,https://stackoverflow.com/questions/511761/js-function-to-get-filename-from-url,js function to get filename from url,,,,,
