,tags,owner,is_answered,view_count,bounty_amount,bounty_closes_date,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,accepted_answer_id,last_edit_date,closed_date,closed_reason,protected_date
0,"['javascript', 'node.js', 'sails.js', 'sails-postgresql']","{'account_id': 13696277, 'reputation': 21, 'user_id': 9882843, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-okCBP9yY9LQ/AAAAAAAAAAI/AAAAAAAAAao/urpRdOjQ4cg/photo.jpg?sz=256', 'display_name': 'Armando Gutheil', 'link': 'https://stackoverflow.com/users/9882843/armando-gutheil'}",False,28,50.0,1669768404.0,0,1,1669163604,1643674057,70934285,CC BY-SA 4.0,https://stackoverflow.com/questions/70934285/how-to-change-schema-name-of-model-at-runtime,How to change schema name of model at runtime,,,,,
1,"['javascript', 'reactjs', 'pdf', 'next.js', 'export-to-pdf']","{'account_id': 17188287, 'reputation': 406, 'user_id': 15150002, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/08673c500ea1fb177161c1a3baf7cf01?s=256&d=identicon&r=PG&f=1', 'display_name': 'Miguel V', 'link': 'https://stackoverflow.com/users/15150002/miguel-v'}",True,3853,,,2,1,1669138375,1643658409,70931969,CC BY-SA 4.0,https://stackoverflow.com/questions/70931969/how-can-i-export-a-nextjs-page-as-pdf,How can I export a Nextjs page as pdf?,70932567.0,,,,
2,"['javascript', 'vue.js', 'select', 'vuejs3', 'vue-composition-api']","{'account_id': 1428565, 'reputation': 2305, 'user_id': 1351505, 'user_type': 'registered', 'accept_rate': 30, 'profile_image': 'https://i.stack.imgur.com/EihlM.jpg?s=256&g=1', 'display_name': 'Anirudh', 'link': 'https://stackoverflow.com/users/1351505/anirudh'}",True,977,,,1,2,1669131975,1644588236,71081386,CC BY-SA 4.0,https://stackoverflow.com/questions/71081386/change-not-working-with-select-tag-in-vue3-composition-api,@change not working with select tag in Vue3 composition API,,1669131795.0,,,
3,"['javascript', 'concatenation']","{'account_id': 24103546, 'reputation': 19, 'user_id': 18075064, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ba9f8fe8f7778fd3855647b6b2a7a533?s=256&d=identicon&r=PG&f=1', 'display_name': 'baphomet', 'link': 'https://stackoverflow.com/users/18075064/baphomet'}",True,26,,,1,-1,1669130463,1645041854,71148582,CC BY-SA 4.0,https://stackoverflow.com/questions/71148582/inserting-string-value-using-substring-not-returning-intended-output,Inserting string value using substring not returning intended output,,1645043169.0,,,
4,"['javascript', 'reactjs', 'webpack', 'storybook']","{'account_id': 5953400, 'reputation': 63, 'user_id': 4680811, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/-EMVMf_m3MVM/AAAAAAAAAAI/AAAAAAAADsM/NtC5h20e0G8/photo.jpg?sz=256', 'display_name': 'Rene Rubio', 'link': 'https://stackoverflow.com/users/4680811/rene-rubio'}",True,7654,,,2,4,1669122180,1644401799,71047742,CC BY-SA 4.0,https://stackoverflow.com/questions/71047742/storybook-error-module-not-found-error-cant-resolve-hooks-in,Storybook ERROR. Module not found: Error: Can&#39;t resolve &#39;hooks/&#39; in,,,,,
5,"['javascript', 'logging', 'fs', 'pinojs']","{'account_id': 24175584, 'reputation': 21, 'user_id': 18136998, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/feacd710e21900c26630f5d3925be665?s=256&d=identicon&r=PG', 'display_name': 'Watermelon', 'link': 'https://stackoverflow.com/users/18136998/watermelon'}",False,907,,,1,2,1669119347,1644184039,71011965,CC BY-SA 4.0,https://stackoverflow.com/questions/71011965/format-pino-file-stream-with-pino-pretty,Format pino file stream with pino-pretty,,1644519971.0,,,
6,"['javascript', 'electron', 'svelte', 'svelte-3', 'sveltekit']","{'account_id': 262711, 'reputation': 551, 'user_id': 547768, 'user_type': 'registered', 'accept_rate': 19, 'profile_image': 'https://www.gravatar.com/avatar/078749c20756a5cbd25f17a5a208f9e0?s=256&d=identicon&r=PG', 'display_name': 'Markstar', 'link': 'https://stackoverflow.com/users/547768/markstar'}",True,392,,,2,1,1669067741,1644580188,71079628,CC BY-SA 4.0,https://stackoverflow.com/questions/71079628/how-to-make-multiple-svelte-windows-in-electron,How to make multiple Svelte windows in Electron?,71103298.0,,,,
7,"['javascript', 'html', 'css', 'carousel']","{'account_id': 17045280, 'reputation': 21, 'user_id': 12332281, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/gtac3.png?s=256&g=1', 'display_name': 'DevMatt', 'link': 'https://stackoverflow.com/users/12332281/devmatt'}",False,41,,,1,-1,1669055721,1644000327,70991380,CC BY-SA 4.0,https://stackoverflow.com/questions/70991380/javascript-reading-all-6-when-3-are-hidden-on-mobile,JavaScript reading all 6 when 3 are hidden on mobile,,1644003679.0,,,
8,"['javascript', 'reactjs', 'firebase', 'react-redux']","{'account_id': 23245615, 'reputation': 33, 'user_id': 17334245, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5fec04c56458bf814021a9131b54bb42?s=256&d=identicon&r=PG', 'display_name': 'Sana Momin', 'link': 'https://stackoverflow.com/users/17334245/sana-momin'}",False,50,,,1,0,1669044535,1643976894,70986235,CC BY-SA 4.0,https://stackoverflow.com/questions/70986235/reset-password-not-working-error-rangeerror-maximum-call-stack-size-exceeded,"reset password not working, error : RangeError: Maximum call stack size exceeded",,1669044535.0,,,
9,"['javascript', 'html', 'reactjs', 'search', 'react-router']","{'account_id': 22889749, 'reputation': 35, 'user_id': 17030048, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJzIeS5tvIFpDeD3sqKFlV2iLry8gdwvELVInzv6=k-s256', 'display_name': 'Joey Smith', 'link': 'https://stackoverflow.com/users/17030048/joey-smith'}",True,915,,,1,3,1669004549,1645326628,71191091,CC BY-SA 4.0,https://stackoverflow.com/questions/71191091/what-is-the-best-way-to-render-a-search-bar-component-that-takes-in-a-props-in-a,What is the best way to render a search bar component that takes in a props in another component using react v6,71191713.0,1645336844.0,,,
10,"['javascript', 'reactjs', 'typescript', 'html5-canvas', 'capturestream']","{'account_id': 7470449, 'reputation': 473, 'user_id': 17292277, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5d7be957807b4ed2cf0c7552731efc10?s=256&d=identicon&r=PG&f=1', 'display_name': 'walee', 'link': 'https://stackoverflow.com/users/17292277/walee'}",True,327,,,1,0,1669000869,1645656333,71244898,CC BY-SA 4.0,https://stackoverflow.com/questions/71244898/uncaught-typeerror-canvas-capturestream-is-not-a-function,Uncaught TypeError: canvas.captureStream is not a function,,1669000869.0,,,
11,"['javascript', 'node.js', 'express']","{'account_id': 24207114, 'reputation': 11, 'user_id': 18164149, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6606d08ec7109edd67798a1efadd24c9?s=256&d=identicon&r=PG&f=1', 'display_name': 'Jason Carrillo', 'link': 'https://stackoverflow.com/users/18164149/jason-carrillo'}",False,1248,,,2,-2,1668986073,1644431766,71054960,CC BY-SA 4.0,https://stackoverflow.com/questions/71054960/profile-management-node-js-and-express,Profile management: Node js and Express,,1644444795.0,,,
12,"['javascript', 'next.js']","{'account_id': 11116302, 'reputation': 143, 'user_id': 8758104, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/hhsRJ.jpg?s=256&g=1', 'display_name': 'aiw', 'link': 'https://stackoverflow.com/users/8758104/aiw'}",True,7289,,,4,10,1668985163,1644335625,71036865,CC BY-SA 4.0,https://stackoverflow.com/questions/71036865/how-to-modify-request-headers-in-next-js,How to modify request headers in Next.js,,,,,
13,"['javascript', 'jquery', 'json', 'ajax', 'laravel']","{'account_id': 22994161, 'reputation': 441, 'user_id': 17119202, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/542e0528835e857172b474ef27a47034?s=256&d=identicon&r=PG', 'display_name': 'Pouya', 'link': 'https://stackoverflow.com/users/17119202/pouya'}",False,110,,,3,3,1668981721,1644387674,71044853,CC BY-SA 4.0,https://stackoverflow.com/questions/71044853/how-to-check-if-data-returned-from-ajax-as-json-is-empty-object-or-not,How to check if data returned from ajax as json is empty object or not,,1644390090.0,,,
14,"['javascript', 'node.js', 'webrtc', 'capturestream']","{'account_id': 18862874, 'reputation': 1, 'user_id': 13759290, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/6a5a9b7a0d2cde0bedaf2ba10d13e512?s=256&d=identicon&r=PG&f=1', 'display_name': 'rhenmiles', 'link': 'https://stackoverflow.com/users/13759290/rhenmiles'}",False,44,,,0,0,1668904388,1645863665,71275101,CC BY-SA 4.0,https://stackoverflow.com/questions/71275101/trying-to-transmit-video-capturestream-webrtc,Trying to transmit video capturestream webrtc,,1668904388.0,,,
15,"['javascript', 'node.js', 'webrtc', 'capturestream']","{'account_id': 24144216, 'reputation': 11, 'user_id': 18110074, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJwpMt0mFrSM4ZINrSiexjj7wZ8fH0eoqHtf8GNa=k-s256', 'display_name': 'Raniel Antolin', 'link': 'https://stackoverflow.com/users/18110074/raniel-antolin'}",False,95,,,0,1,1668904322,1645808193,71269171,CC BY-SA 4.0,https://stackoverflow.com/questions/71269171/webrtc-screencapture-or-capturestream,Webrtc screencapture or capturestream,,1668904322.0,,,
16,"['javascript', 'arrays']","{'account_id': 13011162, 'reputation': 153, 'user_id': 9404143, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/bc866597f2eb264e0000a1f560861937?s=256&d=identicon&r=PG&f=1', 'display_name': 'Juan Luis', 'link': 'https://stackoverflow.com/users/9404143/juan-luis'}",True,2685,,,6,0,1668898769,1645209351,71178336,CC BY-SA 4.0,https://stackoverflow.com/questions/71178336/group-array-of-strings-by-first-letter,Group array of strings by first letter,71178730.0,1668898769.0,,,
