,tags,owner,is_answered,view_count,protected_date,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,community_owned_date,locked_date,migrated_from
0,"['javascript', 'object']","{'account_id': 113875, 'reputation': 26850, 'user_id': 299711, 'user_type': 'registered', 'accept_rate': 88, 'profile_image': 'https://www.gravatar.com/avatar/f61d00f60af2317ddd079565680d0bc5?s=256&d=identicon&r=PG', 'display_name': 'arik', 'link': 'https://stackoverflow.com/users/299711/arik'}",True,978387,1560341561.0,28191966.0,31,655,1669550729,1332937437,1508840880.0,9907419,CC BY-SA 3.0,https://stackoverflow.com/questions/9907419/how-to-get-a-key-in-a-javascript-object-by-its-value,How to get a key in a JavaScript object by its value?,,,,,
1,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1285200, 'reputation': 363, 'user_id': 1238424, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/147bc856f94389defa7e29f34bcfbf1d?s=256&d=identicon&r=PG', 'display_name': 'Harshil Shah', 'link': 'https://stackoverflow.com/users/1238424/harshil-shah'}",True,213,,9502920.0,2,1,1669481071,1330532577,1669481071.0,9502798,CC BY-SA 4.0,https://stackoverflow.com/questions/9502798/trying-to-re-open-a-closed-dialog-doesnt-work,Trying to re-open a closed dialog doesn&#39;t work,,,,,
2,"['javascript', 'jquery', 'jquery-events']","{'account_id': 457007, 'reputation': 1218, 'user_id': 856054, 'user_type': 'registered', 'accept_rate': 90, 'profile_image': 'https://www.gravatar.com/avatar/9443bbfd13cb2285455a2d22b20020a6?s=256&d=identicon&r=PG', 'display_name': 'Sam Beckham', 'link': 'https://stackoverflow.com/users/856054/sam-beckham'}",True,332,,9535886.0,3,0,1669475511,1330701840,1669475511.0,9535795,CC BY-SA 4.0,https://stackoverflow.com/questions/9535795/javascript-firing-on-page-load-instead-of-event-bug,JavaScript firing on page load instead of event (Bug),,,,,
3,"['javascript', 'jquery', 'jquery-events']","{'user_type': 'does_not_exist', 'display_name': 'user1219892'}",False,264,,,2,2,1669475478,1330806880,1669475478.0,9549635,CC BY-SA 4.0,https://stackoverflow.com/questions/9549635/how-to-track-the-change-when-the-browser-autofills-a-password-in-a-form-after-yo,How to track the change when the browser autofills a password in a form after you type the username,,,,,
4,"['javascript', 'jquery', 'jquery-events']","{'account_id': 174195, 'reputation': 2064, 'user_id': 403406, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/ba4f58129529ab060d72c06cf6047386?s=256&d=identicon&r=PG', 'display_name': 'basicallydan', 'link': 'https://stackoverflow.com/users/403406/basicallydan'}",True,914,,,1,4,1669475386,1330884138,1669475386.0,9557435,CC BY-SA 4.0,https://stackoverflow.com/questions/9557435/sending-event-parameters-in-a-jquery-trigger-to-an-iframe,Sending event parameters in a jQuery trigger to an iframe,,,,,
5,"['javascript', 'jquery', 'jquery-events']","{'account_id': 325611, 'reputation': 5439, 'user_id': 646891, 'user_type': 'registered', 'accept_rate': 74, 'profile_image': 'https://www.gravatar.com/avatar/ec88626020134c0a1de6649156a35e98?s=256&d=identicon&r=PG', 'display_name': 'Itai Sagi', 'link': 'https://stackoverflow.com/users/646891/itai-sagi'}",True,11711,,9566971.0,3,10,1669455494,1330951879,1669455494.0,9566954,CC BY-SA 4.0,https://stackoverflow.com/questions/9566954/e-preventdefault-is-there-a-way-to-dodefault,e.preventDefault - is there a way to doDefault?,,,,,
6,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1300139, 'reputation': 33, 'user_id': 1250240, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/768672d02cdd9ff7fb280192298406aa?s=256&d=identicon&r=PG', 'display_name': 'ThePromoter', 'link': 'https://stackoverflow.com/users/1250240/thepromoter'}",True,296,,9570024.0,2,3,1669455446,1330963683,1669455446.0,9569927,CC BY-SA 4.0,https://stackoverflow.com/questions/9569927/propagating-javascript-events-through-a-tooltip-like-div,Propagating JavaScript events through a tooltip-like div,,,,,
7,"['javascript', 'jquery', 'jquery-events']","{'account_id': 1263244, 'reputation': 2401, 'user_id': 1221082, 'user_type': 'registered', 'accept_rate': 98, 'profile_image': 'https://www.gravatar.com/avatar/0c1d7987b1837ea6e3158cdc6d11aea4?s=256&d=identicon&r=PG', 'display_name': 'Denis', 'link': 'https://stackoverflow.com/users/1221082/denis'}",True,220,,9570019.0,2,1,1669455403,1330963855,1669455403.0,9569966,CC BY-SA 4.0,https://stackoverflow.com/questions/9569966/how-defined-in-jquery-was-it-a-regular-click-on-the-same-element-or-double-click,How defined in jQuery was it a regular click on the same element or double-click?,,,,,
8,"['javascript', 'jquery']","{'account_id': 473033, 'reputation': 16268, 'user_id': 881894, 'user_type': 'registered', 'accept_rate': 56, 'profile_image': 'https://lh6.googleusercontent.com/-PoAJXbkM7UQ/AAAAAAAAAAI/AAAAAAAAAAs/Xi6TKFY8WWw/photo.jpg?sz=256', 'display_name': 'Alexander Kim', 'link': 'https://stackoverflow.com/users/881894/alexander-kim'}",True,2382,,,1,-1,1669455343,1331146310,1669455343.0,9607349,CC BY-SA 4.0,https://stackoverflow.com/questions/9607349/how-to-download-doc-docx-files-with-left-click-jquery-or-javascript,"How to download doc, docx files with left click jQuery or JavaScript",,,,,
9,"['javascript', 'jquery', 'jquery-events']","{'account_id': 310835, 'reputation': 6912, 'user_id': 624037, 'user_type': 'registered', 'accept_rate': 82, 'profile_image': 'https://www.gravatar.com/avatar/a1130266a98908ee9da24b50e657e709?s=256&d=identicon&r=PG', 'display_name': 'climboid', 'link': 'https://stackoverflow.com/users/624037/climboid'}",True,1435,,9710962.0,1,1,1669414155,1331762197,1669414155.0,9710887,CC BY-SA 4.0,https://stackoverflow.com/questions/9710887/click-ok-or-cancel-of-file-download-in-javascript,Click ok or cancel of file download in JavaScript,,,,,
